id,dish,grams,kcal,prot,fat,carb,eaten_at,deleted,created_at,updated_at,eaten_day,imageurl,mailid,ingridients,description,sugar,fiber,sodium,glycemicindex,saturatedfat,vitamins,minerals,healthbenefits,healthconcerns,overallhealthscore,recommendedintakedescr,packageinfo,targetlanguage,originalresult,issafeforuser,allergenid,allergenname,messageallergen,recommendedintakemaxfrequency,portionsize,quantity,quantityeaten,totalmultiplier,basegrams,preparationmethod,addon_sauce,addon_sugar,addon_oil,addon_cream,addon_cheese,addon_nuts,webhook_data,scan_id,scan_timestamp,scan_date
1,Банан,18.00,18.00,0.20,0.10,4.70,,false,2025-05-27 16:47:52.119252+00,2025-05-27 16:47:52.119252+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748294675634.jpg?alt=media&token=a965235a-9763-443c-ace5-f12a29002df1,2025052518383533341@nutrichecker.top,"[{""name"": ""банан""}]",Один целый средний банан на тарелке,2.40,0.50,0.00,51,0.10,"[""C"", ""B6""]","[""Potassium"", ""Magnesium"", ""Manganese""]","[[""Хороший источник калия""]]","[""Относительно высокое содержание натуральных сахаров, но сбалансировано клетчаткой""]",88,Отлично подходит в качестве полезного перекуса или части сбалансированного завтрака. Можно употреблять ежедневно.,,ru,,true,,,,ежедневно,small,1,quarter,0.175,100,,0,0,0,0,0,0,,food_analysis_1748294743548,,
2,Baggio Pronto Orange Flavored Drink,100.00,90.00,0.40,0.00,22.00,,false,2025-05-27 17:17:04.854287+00,2025-05-27 17:17:04.854287+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748366196649.jpg?alt=media&token=bd6f8dd7-bdb9-4429-9cb9-caab0658eb70,2025052522330875258@nutrichecker.top,"[{""name"": ""50% orange juice""}, {""name"": ""orange flavor""}, {""name"": ""vitamin C""}, {""name"": ""sugar""}, {""name"": ""water""}]",Full juice box,20.00,0.20,0.02,55,0.00,"[""C""]",[],"[[""Source of Vitamin C""]]","[""High sugar content"", ""High calorie content""]",40,Best consumed occasionally due to high sugar and calorie content.,,ru,,true,,,,occasionally,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748366217868,,
3,Tangerine,400.00,188.00,2.80,1.20,48.00,,false,2025-05-27 17:19:12.478983+00,2025-05-27 17:19:12.478983+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748366302326.jpg?alt=media&token=07a1cf74-709a-4b30-8147-5e5da9893e28,2025052522330875258@nutrichecker.top,"[{""name"": ""tangerine""}]",Single tangerine,36.00,6.80,0.00,47,0.00,"[""C"", ""A""]","[""Potassium"", ""Calcium""]","[[""High in Vitamin C""]]","[""None significant for typical consumption""]",90,"Excellent for daily consumption as part of a healthy diet, can be eaten as a snack or added to meals.",,ru,,true,,,,daily,regular,4,all,4.000,100,,0,0,0,0,0,0,,food_analysis_1748366317776,,
4,Green Olives in Brine XL,25.00,66.00,0.50,6.90,0.50,,false,2025-05-27 17:20:14.431826+00,2025-05-27 17:20:14.431826+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748347640007.jpg?alt=media&token=297bce53-9fe0-41ad-9f4f-f317cdd40780,2025052708443239565@nutrichecker.top,"[{""name"": ""green olives""}, {""name"": ""water""}, {""name"": ""sodium chloride""}, {""name"": ""citric acid (INS 330)""}, {""name"": ""lactic acid (INS 270)""}, {""name"": ""potassium sorbate (INS 202)""}]",Full package of green olives,0.00,1.20,2.56,,5.40,"[""E""]","[""Iron"", ""Copper"", ""Calcium""]","[[""Good source of healthy fats (monounsaturated)""]]","[""High sodium content""]",60,"Consume in moderation due to high sodium content, suitable as a snack or addition to meals.",,ru,,true,,,,daily,regular,1,quarter,0.250,100,,0,0,0,0,0,0,,food_analysis_1748347667571,,
5,Salami and Cheese Baguette Sandwich,100.00,580.00,26.00,31.00,53.00,,false,2025-05-27 17:20:44.181828+00,2025-05-27 17:20:44.181828+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748347120138.jpg?alt=media&token=8f03d9b0-13c2-438b-9432-9308986766f5,2025052708443239565@nutrichecker.top,"[{""name"": ""baguette bread""}, {""name"": ""salami""}, {""name"": ""cheese""}]",One medium salami and cheese sandwich,3.00,3.00,1.50,55,15.00,"[""B1"", ""B3"", ""B6"", ""B12"", ""D""]","[""Calcium"", ""Iron"", ""Sodium"", ""Zinc""]","[[""Good source of protein""]]","[""High in saturated fat"", ""High sodium content"", ""Moderate in fiber""]",45,Best consumed in moderation due to high fat and sodium content.,,ru,,true,,,,occasionally,regular,1,all,1.000,100,,1,0,0,0,0,0,,food_analysis_1748347144687,,
6,Apricot,100.00,17.00,0.50,0.10,4.00,,false,2025-05-28 13:05:05.621666+00,2025-05-28 13:05:05.621666+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748437446159.jpg?alt=media&token=9ce088e6-4ae8-45ce-aef6-907631776002,2025052813545040996@nutrichecker.top,"[{""name"": ""apricot""}]",Single apricot,3.00,0.70,0.00,30,0.00,"[""A"", ""C"", ""E"", ""K"", ""B6""]","[""Potassium"", ""Copper"", ""Iron"", ""Magnesium""]","[[""Good source of Vitamin A""]]",[],90,Excellent for daily consumption as part of a balanced diet.,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748437467528,,
7,Pears,100.00,304.00,2.10,0.50,81.20,,false,2025-05-29 00:35:41.519786+00,2025-05-29 00:35:41.519786+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748308105827.jpg?alt=media&token=5c36e167-0c7a-44d1-a8bb-723959db61c0,2025052518383533341@nutrichecker.top,"[{""name"": ""pear""}]",Three medium pears in a bowl,52.30,16.60,0.01,38,0.00,"[""C"", ""K""]","[""Potassium"", ""Copper""]","[[""High in fiber""]]",[],95,Excellent addition to a daily balanced diet as a snack or part of a meal,,ru,,true,,,,daily,regular,1,all,1.000,100,,0,0,0,0,0,0,,food_analysis_1748308120690,,
8,Turkey and Vegetable Sandwich,50.00,175.00,12.50,5.00,20.00,,false,2025-05-29 00:37:19.197696+00,2025-05-29 00:37:19.197696+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748478990485.jpg?alt=media&token=5ddfa823-8f2b-48c7-9f8e-2418643d23a7,2025052518383533341@nutrichecker.top,"[{""name"": ""whole wheat bread""}, {""name"": ""sliced turkey breast""}, {""name"": ""lettuce""}, {""name"": ""tomato""}]","One whole sandwich, cut in half",2.50,3.00,0.80,55,2.00,"[""A"", ""C"", ""B6"", ""B12""]","[""Iron"", ""Potassium"", ""Zinc""]","[[""High protein content""]]","[""Moderate sodium content""]",80,Can be consumed as a balanced meal for lunch or a substantial snack.,,ru,,true,,,,daily,regular,1,half,0.500,100,,0,0,0,0,0,0,,food_analysis_1748479008459,,
9,Herring Under a Fur Coat Salad,50.00,270.00,9.00,19.50,18.00,,false,2025-05-29 02:08:50.483904+00,2025-05-29 02:08:50.483904+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748484455989.jpg?alt=media&token=d4ef459a-263a-4cf3-a8f7-af0708d2ee6f,2025052718082522252@nutrichecker.top,"[{""name"": ""herring""}, {""name"": ""potatoes""}, {""name"": ""carrots""}, {""name"": ""beets""}, {""name"": ""mayonnaise""}, {""name"": ""onions""}]",Single portion of layered herring salad in a plastic container,6.00,3.80,1.20,55,9.00,"[""A"", ""C"", ""B6""]","[""Potassium"", ""Selenium"", ""Sodium""]","[[""Good source of vitamins and minerals from vegetables""]]","[""High in calories and fat due to mayonnaise"", ""High sodium content from herring and mayonnaise""]",45,"Best consumed in moderation as part of an occasional meal due to its high calorie, fat, and sodium content.",,ru,,true,,,,occasionally,regular,1,half,0.500,100,,0,0,0,0,0,0,,food_analysis_1748484477772,,
10,Turkey and Vegetable Sandwich,50.00,175.00,12.50,5.00,20.00,,false,2025-05-30 22:03:34.344721+00,2025-05-30 22:03:34.344721+00,,https://firebasestorage.googleapis.com/v0/b/nutrichecker-41993.firebasestorage.app/o/food_analysis%2F1748478990485.jpg?alt=media&token=5ddfa823-8f2b-48c7-9f8e-2418643d23a7,2025052518383533341@nutrichecker.top,"[{""name"": ""whole wheat bread""}, {""name"": ""sliced turkey breast""}, {""name"": ""lettuce""}, {""name"": ""tomato""}]","One whole sandwich, cut in half",2.50,3.00,0.80,55,2.00,"[""A"", ""C"", ""B6"", ""B12""]","[""Iron"", ""Potassium"", ""Zinc""]","[[""High protein content""]]","[""Moderate sodium content""]",80,Can be consumed as a balanced meal for lunch or a substantial snack.,,ru,,true,,,,daily,regular,1,half,0.500,100,,0,0,0,0,0,0,,food_analysis_1748479008459,,
